Name,Rating,Price,Connectivity,Processor,RAM_Storage,Battery,Display,Camera,OS
Realme 16T 5G,4.35,"₹22,990","Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity, Octa Core Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"6.57 inches, 1080 x 2372 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 50 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
Sony Xperia 1 VIII,4.65,"₹1,49,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 30W Fast Charging,"6.5 inches, 1080 x 2340 px, 120 Hz Display",48 MP + 48 MP + 48 MP Triple Rear & 12 MP Front Camera,Memory Card (Hybrid)
Xiaomi Redmi Turbo 4 Pro,4.2,"₹23,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",7550 mAh Battery with 90W Fast Charging,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v15
Oppo Find X9 Ultra,4,"₹1,39,999","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",7050 mAh Battery with 100W Fast Charging,"6.82 inches, 1440 x 3168 px, 144 Hz Display with Punch Hole",200 MP Quad Rear & 50 MP Front Camera,Android v16
iQOO Z11,4.35,"₹25,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7s Gen4, Octa Core, 2.7 GHz Processor","8 GB RAM, 256 GB inbuilt",9020 mAh Battery with 90W Fast Charging,"6.83 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP Rear & 32 MP Front Camera,Memory Card Not Supported
Oppo K12s,4.5,"₹19,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v15
Infinix Note 60 Ultra,4.65,"₹31,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Dimensity 8400 Ultimate, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 100W Fast Charging,"6.78 inches, 1208 x 2644 px, 144 Hz Display with Punch Hole",200 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB"
Vivo Y37c,4.25,"₹7,999","Dual Sim, 5G, VoLTE, Wi-Fi","Unisoc T7225, Octa Core Processor","6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 15W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",13 MP + Ultra Wide Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
iQOO Z11 Turbo,4.05,"₹31,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen5, Octa Core, 3.8 GHz Processor","12 GB RAM, 256 GB inbuilt",7600 mAh Battery with 100W Fast Charging,"6.59 inches, 1260 x 2750 px, 144 Hz Display with Punch Hole",200 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v16
Oppo Find X9s,4.55,"₹64,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Dimensity 9500s, Octa Core, 3.73 GHz Processor","12 GB RAM, 256 GB inbuilt",7025 mAh Battery with 100W Fast Charging,"6.59 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v16
Motorola Moto G37,4.6,"₹21,990","Dual Sim, 5G, NFC, Wi-Fi","Dimensity 6400, Octa Core Processor","4 GB RAM, 64 GB inbuilt",5200 mAh Battery with 20W Fast Charging,"6.7 inches, 720 x 1604 px, 120 Hz Display",50 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
Tecno Camon 40 Pro 5G,4.35,"₹25,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",5200 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15
Motorola Moto G37 Power,4.25,"₹29,999","Dual Sim, 5G, NFC, Wi-Fi","Dimensity 6400, Octa Core Processor","4 GB RAM, 128 GB inbuilt",7000 mAh Battery with 30W Fast Charging,"6.7 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
OPPO K15 Pro,4.4,"₹42,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8500, Octa Core, 3.4 GHz Processor","12 GB RAM, 256 GB inbuilt",7500 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Memory Card Not Supported
Realme Neo 8,4.35,"₹29,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen5, Octa Core, 3.8 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 80W Fast Charging,"6.78 inches, 1272 x 2772 px, 165 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front Camera,Android v16
Honor WIN RT,4.5,"₹34,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",10000 mAh Battery with 100W Fast Charging,"6.83 inches, 1272 x 2800 px, 185 Hz Display with Punch Hole",50 MP + 12 MP Dual Rear & 50 MP Front Camera,Android v16
Red Magic 11 Pro,4.6,"₹60,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 80W Fast Charging,"6.85 inches, 1216 x 2688 px, 144 Hz Display",50 MP + 50 MP + 2 MP Triple Rear & 16 MP Front Camera,Memory Card Not Supported
RedMagic 11 Pro Plus,4.3,"₹69,990","Dual Sim, 5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",7500 mAh Battery with 120W Fast Charging,"6.85 inches, 1216 x 2688 px, 144 Hz Display",50 MP + 50 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v16
Honor 600 Lite 5G,4.05,"₹30,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Dimensity 7100, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",6520 mAh Battery with 45W Fast Charging,"6.6 inches, 1200 x 2600 px, 120 Hz Display with Small Notch",108 MP + 5 MP Dual Rear & 16 MP Front Camera,Android v16
Tecno Camon 50 Pro 5G,4.35,"₹34,990","Dual Sim, 5G, NFC, Wi-Fi, IR Blaster","Dimensity 7400, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with Fast Charging,"6.78 inches, 1208 x 2644 px, 144 Hz Display",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v16
Vivo Y600 Pro 5G,4.75,"₹27,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 7300e, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 90W Fast Charging,"6.83 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP Rear & 32 MP Front Camera,Android v16
iQOO Z10 Turbo Pro,4.5,"₹23,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 120W Fast Charging,"6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15
Vivo X200 FE,4.65,"₹54,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Memory Card Not Supported
Honor Magic 8 Pro Air,4.25,"₹49,990","Dual Sim, 5G, NFC, Wi-Fi","Dimensity 9500, Octa Core, 4.21 GHz Processor","12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 80W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",64 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v16
Xiaomi Redmi Turbo 5 Max,4.75,"₹39,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9500s, Octa Core, 3.73 GHz Processor","12 GB RAM, 256 GB inbuilt",9000 mAh Battery with 100W Fast Charging,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v16
Infinix Smart 10 HD,4.45,"₹4,999","Dual Sim, 4G, VoLTE, Wi-Fi, IR Blaster","Octa Core, 1.6 GHz Processor","2 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.6 inches, 720 x 1612 px, 90 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,Memory Card Supported
